Base                Size      Path
0x00000000ffbf0000  0x137000  C:\msys64\mingw64\bin\libgstreamer-1.0-0.dll
0x00000000ffb30000  0xc0000   C:\msys64\mingw64\bin\libgstvideo-1.0-0.dll
0x000000002d2f0000  0x23000   C:\msys64\mingw64\bin\libgstplay-1.0-0.dll
0x000000002d6f0000  0x127000  C:\Windows\SYSTEM32\OPENGL32.dll
0x0000000000270000  0x7e000   C:\msys64\mingw64\bin\libgstbase-1.0-0.dll
0x00000000fff20000  0x8e000   C:\msys64\mingw64\bin\liborc-0.4-0.dll
0x0000000027080000  0x3f000   C:\msys64\mingw64\bin\libgstpbutils-1.0-0.dll
0x0000000024a10000  0x4a000   C:\msys64\mingw64\bin\libgsttag-1.0-0.dll
0x000000002d630000  0x2c000   C:\Windows\SYSTEM32\GLU32.dll
0x00000000ffaa0000  0x85000   C:\msys64\mingw64\bin\libgstaudio-1.0-0.dll
0x00000000468c0000  0x6000    C:\Windows\system32\KBDBR.DLL
0x000000005b1f0000  0x12000   C:\Windows\SYSTEM32\kernel.appcore.dll
0x000000005d080000  0x2c000   C:\Windows\SYSTEM32\DEVOBJ.dll
0x000000005dba0000  0x67000   C:\Windows\System32\WINTRUST.dll
0x000000005cec0000  0x12000   C:\Windows\SYSTEM32\MSASN1.dll
0x000000005e860000  0xa9000   C:\Windows\System32\clbcatq.dll
0x00000000ff980000  0x118000  C:\msys64\mingw64\bin\libadwaita-1-0.dll
0x000000005b3f0000  0x794000  C:\Windows\SYSTEM32\windows.storage.dll
0x000000005cd30000  0x30000   C:\Windows\System32\Wldp.dll
0x000000005d210000  0x1f000   C:\Windows\SYSTEM32\profapi.dll
0x0000000053070000  0x10a000  C:\Windows\system32\winhttp.dll
0x000000005ca90000  0x6a000   C:\Windows\system32\mswsock.dll
0x0000000044050000  0x3e000   C:\Windows\system32\dataexchange.dll
0x0000000059f50000  0x1e4000  C:\Windows\system32\dcomp.dll
0x0000000059ce0000  0x263000  C:\Windows\system32\d3d11.dll
0x000000005bbd0000  0xf3000   C:\Windows\system32\dxgi.dll
0x0000000056a20000  0x200000  C:\Windows\system32\twinapi.appcore.dll
0x00000000584f0000  0xf7000   C:\Windows\System32\AppXDeploymentClient.dll
0x000000002dd50000  0x2d000   C:\Windows\System32\DriverStore\FileRepository\u0380677.inf_amd64_dba19d925381d5ad\B380472\atig6pxx.dll
0x000000002a450000  0x2e99000  C:\Windows\System32\DriverStore\FileRepository\u0380677.inf_amd64_dba19d925381d5ad\B380472\atio6axx.dll
0x0000000049320000  0x24000   C:\Windows\SYSTEM32\dxva2.dll
0x000000002dd10000  0x3f000   C:\Windows\System32\DriverStore\FileRepository\u0380677.inf_amd64_dba19d925381d5ad\B380472\atig6txx.dll
0x000000004af20000  0x1d6000  C:\Windows\SYSTEM32\atiadlxx.dll
0x000000005fb60000  0x8000    C:\Windows\System32\PSAPI.DLL
0x0000000058d20000  0xf6000   C:\Windows\SYSTEM32\PROPSYS.dll
0x000000004ae10000  0x49000   C:\Windows\SYSTEM32\pdh.dll
0x00000000565b0000  0x3b000   C:\Windows\SYSTEM32\dxcore.dll
